FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
ESVLC,ITGOA,489,0
ESVLC,ITSAL,711,0
ESVLC,ITSPE,537,537
ESVLC,MAPTM,412,0
ESVLC,MATNG,412,0
ESVLC,SGSIN,11071,0
ESVLC,USNYC,3593,368
ESVLC,USORF,3886,225
FRBES,NLRTM,497,420
FRDKK,GBSOU,120,120
FRFOS,CAHAL,3434,391
FRFOS,EGSCA,1637,0
FRFOS,ESBCN,172,0
FRFOS,ESVLC,332,0
FRFOS,GRPIR,1089,0
FRFOS,ITGOA,211,0
FRFOS,ITLIV,262,0
FRFOS,ITSPE,251,0
FRFOS,MATNG,714,0
FRFOS,PTLIS,996,0
FRFOS,SGSIN,11374,0
FRFOS,USNYC,3902,368
FRLEH,BEANR,169,169
FRLEH,CNYTN,12856,216
FRLEH,DEBRV,422,422
FRLEH,DEHAM,421,421
FRLEH,DEWVN,435,435
FRLEH,EGSCA,3156,216
FRLEH,EGSUZ,3156,216
FRLEH,ESALG,1160,216
FRLEH,ESFRO,570,216
FRLEH,GBLGP,171,171
FRLEH,GBSOU,80,80
FRLEH,MAPTM,1178,216
FRLEH,MXATM,4942,211
FRLEH,MXTUX,4943,211
FRLEH,MXVER,5006,211
FRLEH,NLRTM,225,225
FRLEH,SGSIN,11550,211
FRLEH,USNYC,3172,579
FRLEH,USSAV,3825,633
GBFXT,BEANR,141,141
GBFXT,DEHAM,481,481
GBFXT,FRLEH,178,178
GBFXT,NLRTM,121,121
GBFXT,SGSIN,11827,320
GBLGP,BEANR,67,67
GBLGP,CNYTN,13020,661
GBLGP,DEBRV,289,289
GBLGP,DEHAM,291,291
GBLGP,EGDAM,3118,342
GBLGP,EGSCA,3267,342
GBLGP,EGSUZ,3267,342
GBLGP,ESVLC,1707,342
GBLGP,FRLEH,171,171
GBLGP,GBSOU,119,119
GBLGP,GRPIR,2795,342
GBLGP,MATNG,1296,313
GBLGP,MXATM,5067,661
GBLGP,NLRTM,111,111
GBLGP,SGSIN,11734,313
GBLGP,USCHS,3708,714
GBLGP,USORF,3441,566
GBLGP,USSAV,3773,758
GBSOU,BEANR,148,148
GBSOU,CNYTN,9690,185
GBSOU,DEBRV,457,457
GBSOU,DEHAM,400,400
GBSOU,DEWVN,404,404
GBSOU,EGSCA,3109,185
GBSOU,EGSUZ,3109,185
GBSOU,ESALG,1145,185
GBSOU,FRLEH,80,80
GBSOU,MAPTM,1144,185
GBSOU,NLRTM,204,204
GBSOU,SGSIN,8068,185
GBSOU,USCHS,3547,563
GRPIR,EGSCA,648,0
GRPIR,EGSUZ,648,0
GRPIR,ITGOA,977,0
GRPIR,ITSPE,969,0
GRPIR,MATNG,1505,0
GRPIR,SGSIN,12165,0
GRPIR,TRIST,363,0
GRPIR,TRIZT,390,0
GTPRQ,KRPUS,7221,0
GTPRQ,USLAX,2040,70
GTPRQ,USOAK,2385,440
HKHKG,CNCAN,50,0
HKHKG,CNDLC,1278,0
HKHKG,CNNBO,736,0
HKHKG,CNNGB,736,0
HKHKG,CNSHA,786,0
HKHKG,CNSHG,811,0
HKHKG,CNSHK,1,0
HKHKG,CNTAO,1142,0
HKHKG,CNTXG,1422,0
HKHKG,CNXMN,291,0
HKHKG,CNYTN,43,0
HKHKG,CNZOS,727,0
HKHKG,KRPUS,1136,0
HKHKG,SGSIN,1413,0
HKHKG,THLCH,1504,0
HKHKG,TWKHH,341,0
HKHKG,USLAX,6390,373
HKHKG,VNCMP,865,0
HKHKG,VNHPH,464,0
HKHKG,VNVUT,865,0
ILASH,CNNGB,14777,0
ILASH,EGSCA,153,0
ILASH,GRPIR,652,0
ILASH,KRPUS,15181,0
ILASH,SGSIN,12714,0
ILASH,TRIST,856,0
ILASH,TRIZT,895,0
ILASH,TRMER,289,0
ILASH,TRTEK,800,0
ILHFA,TRIST,816,0
INNSA,INPAV,145,0
INNSA,LKCMB,891,0
INPAV,INNSA,145,0
INPAV,LKCMB,1006,0
INPAV,MYPKG,2400,0
INPAV,SGSIN,2562,0
INPAV,USLAX,10104,373
IQUQR,AEJEA,432,0
IQUQR,CNSHA,6132,0
IQUQR,QAHMD,349,0
IQUQR,SAJUB,350,0
ITGOA,CAHAL,3581,391
ITGOA,EGDAM,1386,0
ITGOA,EGSCA,1444,0
ITGOA,EGSUZ,1444,0
ITGOA,ESALG,849,0
ITGOA,ESBCN,333,0
ITGOA,ESVLC,489,0
ITGOA,FRFOS,211,0
ITGOA,GBLGP,2150,352
ITGOA,GRPIR,977,0
ITGOA,ITLIV,87,0
ITGOA,ITSAL,450,0
ITGOA,ITSPE,43,0
ITGOA,ITVDL,12,0
ITGOA,MATNG,870,0
ITGOA,NLRTM,2235,402
ITGOA,SGSIN,11522,0
ITLIV,FRFOS,252,0
ITLIV,ITGOA,67,0
ITLIV,ITSAL,319,0
ITLIV,ITSPE,40,0
ITSAL,ESVLC,718,0
ITSAL,ITGOA,450,0
